accession	accession.version	taxid	gi
GCA007129655	GCA007129655.1	2022	
GCF000979455	GCF000979455.1	669	
GCA007280465	GCA007280465.1	3546	
GCF000025865	GCF000025865.1	4262	
GCA004525545	GCA004525545.1	3017	
GCA007118145	GCA007118145.1	2546	
GCA003649715	GCA003649715.1	4302	
GCA003023565	GCA003023565.1	4059	
GCA000258425	GCA000258425.1	2407	
GCA000746685	GCA000746685.1	4933	
GCA000494145	GCA000494145.1	2530	
GCA003661965	GCA003661965.1	4656	
GCF000017165	GCF000017165.1	3086	
GCA002899805	GCA002899805.1	3225	
GCA007121575	GCA007121575.1	4308	
GCA001593855	GCA001593855.1	5602	
GCA003649845	GCA003649845.1	3349	
GCA002498125	GCA002498125.1	3032	
GCA003019535	GCA003019535.1	775	
GCA002499585	GCA002499585.1	479	
GCF000725425	GCF000725425.1	4174	
GCA002505325	GCA002505325.1	3705	
GCA007122455	GCA007122455.1	2862	
GCF003382685	GCF003382685.1	4050	
GCF004765805	GCF004765805.1	4152	
GCA002708695	GCA002708695.1	5167	
GCF003670115	GCF003670115.1	2463	
GCF000306725	GCF000306725.1	2989	
GCA002494645	GCA002494645.1	3110	
GCA004376265	GCA004376265.1	5773	
GCA013331265	GCA013331265.1	4427	
GCA002498525	GCA002498525.1	1527	
GCA003662535	GCA003662535.1	5014	
GCA002506335	GCA002506335.1	3379	
GCA003694055	GCA003694055.1	3169	
GCA002725475	GCA002725475.1	3752	
GCA003550625	GCA003550625.1	3268	
GCA003663565	GCA003663565.1	4976	
GCF000746205	GCF000746205.1	5461	
GCA013330595	GCA013330595.1	1448	
GCA002687185	GCA002687185.1	5558	
GCF003947435	GCF003947435.1	1673	
GCF002945325	GCF002945325.1	743	
GCA002067685	GCA002067685.1	4759	
GCA001563805	GCA001563805.1	3497	
GCF000430485	GCF000430485.1	1516	
GCA003021755	GCA003021755.1	4355	
GCA007129135	GCA007129135.1	2568	
GCF001412615	GCF001412615.1	2820	
GCF000337695	GCF000337695.1	3595	
GCA002496355	GCA002496355.1	826	
GCA003601605	GCA003601605.1	2322	
GCA003660605	GCA003660605.1	3038	
GCA003661105	GCA003661105.1	3370	
GCA003602485	GCA003602485.1	3517	
GCA002507205	GCA002507205.1	4165	
GCA002255045	GCA002255045.1	5229	
GCF001548675	GCF001548675.1	3255	
GCA002256595	GCA002256595.1	2130	
GCF005954745	GCF005954745.1	1975	
GCA004195515	GCA004195515.1	5604	
GCF000011105	GCF000011105.1	2916	
GCA013330625	GCA013330625.1	1686	
GCA003021705	GCA003021705.1	4208	
GCF000969905	GCF000969905.1	2456	
GCA007036525	GCA007036525.1	4135	
GCA002507545	GCA002507545.1	1016	
GCF900115675	GCF900115675.1	5703	
GCA002503215	GCA002503215.1	919	
GCA002720095	GCA002720095.2	1313	
GCF001989615	GCF001989615.1	4990	
GCA003602515	GCA003602515.1	2994	
GCF003781945	GCF003781945.1	3062	
GCF002355635	GCF002355635.1	3756	
GCA001595785	GCA001595785.1	3737	
GCF003268005	GCF003268005.1	2966	
GCA001563995	GCA001563995.1	3280	
GCA013329215	GCA013329215.1	4565	
GCF001469865	GCF001469865.1	5045	
GCF001402945	GCF001402945.1	981	
GCF000337575	GCF000337575.1	3824	
GCA002689105	GCA002689105.1	2386	
GCF005406125	GCF005406125.1	3066	
GCA000270325	GCA000270325.1	4755	
GCA002254415	GCA002254415.1	3686	
GCF000337475	GCF000337475.1	4643	
GCA000299365	GCA000299365.1	2031	
GCA004297665	GCA004297665.1	5333	
GCF000499765	GCF000499765.1	5517	
