"","species","K00363","K00370","K00371","K00376","K02567","K02568","K03385","K04561","K02305","K02586","K02588","K02591","K00198","K00297","K01491","K01938","GH105","GH106","GH28","GH78","GH88","GH108","GH24","GH11","GH115","GH30","GH120","GH67","GH15","GH31","GH57","GH16","GH19","GH20","GH1","GH116","GH74","GH44","GH45","GH5","GH65","PF01058.22","PF14720.6","PF02256.17","PF02906.14"
"229_01-HSRNA1-Archotermopsidae-Hodotermopsissjosdedti","229_01-HSRNA1-Archotermopsidae-Hodotermopsissjosdedti",NA,NA,NA,NA,NA,NA,0.98921003790669,NA,NA,1.199750205833,2.36380224550269,NA,1.40827087614788,2.78615648249444,1.96197687017134,0.765948968607632,0.94346713524729,1.50212816652037,1.47988989097882,1.83537010291827,0.61782095169058,NA,NA,NA,NA,0.289840924825269,NA,NA,NA,0.278018308513237,2.05038334848895,1.3102779208914,NA,1.30778682387746,0.765682759934096,0.782684894252161,NA,NA,NA,0.770264056396889,NA,1.87811600458534,1.5454149755509,1.80355905700647,2.11992533345397
"301_75-SA16_13-Hodotermes-Hodotermes","301_75-SA16_13-Hodotermes-Hodotermes",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.845605560090824,2.53131525788764,1.37043842150883,0.999179048911441,2.93146871605017,2.77943932157486,1.91367278600684,0.868354724836571,NA,1.25374202101138,NA,0.583669286459123,NA,0.684977607732907,NA,1.23112614976468,NA,1.08942547979457,1.8034568447107,NA,1.59137632381279,1.4648800704366,1.05800286813337,NA,NA,NA,NA,1.24386380045203,1.7396933339302,NA,NA,0.980053873729245,1.99581938793828,NA,1.82847890804425,3.28885088916398
"301_91-US17-Archotermopsidae-Zootermopsis_nevadensis","301_91-US17-Archotermopsidae-Zootermopsis_nevadensis",0.0683164523687521,0.165230944787944,0.317949904002832,NA,0.400930770673093,0.429382852026937,0.582560571080343,NA,NA,0.854146100047223,2.17304567727541,1.76528142784049,0.747637254334768,3.13253596304223,2.7272331517991,1.39884255386233,2.08582565420843,2.93771669720123,2.71381038147655,3.66287983610905,2.33013173771671,0.16621727276381,1.39463387132883,NA,1.76302525383048,1.6335203204104,0.825287177488303,0.994688483123976,NA,3.09855724539474,2.23637234454907,2.66539940714428,NA,2.54473784863265,1.92310537872018,2.20719174683513,NA,NA,NA,NA,1.25333668780228,2.50209525075567,1.35315266157674,NA,2.34454804776817
"230_10-POROTERMES52-Stolotermitidae-Porotermes","230_10-POROTERMES52-Stolotermitidae-Porotermes",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.42439316190583,2.90305818832069,1.33594960742464,2.17245529227148,2.86119781910521,1.28334340214975,NA,3.0265584119738,1.97721593221298,2.02632219341877,2.78309444497599,1.7406609037376,NA,1.39787202848523,NA,NA,NA,NA,NA,NA,2.72977005717791,2.26431129350602,2.16896175159317,NA,1.43391650019778,NA,NA,NA,NA,NA,NA,1.73940294747708,2.07341544533214,NA,2.27487024421958,3.41929060219475
"272_76-PORO_CHILI-Stolotermitidae-Porotermes_quadricollis","272_76-PORO_CHILI-Stolotermitidae-Porotermes_quadricollis",NA,NA,0.00717946543602843,NA,NA,NA,NA,NA,NA,1.70339163566074,2.28531275942903,1.57855447043573,NA,3.15396906019104,2.46974901153594,1.37774630108316,1.96068387027425,2.43301781300277,2.23916472260117,2.23110253076017,1.17754835366002,NA,1.14362431301624,NA,1.75721085197445,0.876392828393031,NA,1.42655904545083,NA,1.79405200357408,2.12672224783381,1.07514395570875,NA,2.01413044377419,2.47991274088865,0.161603873270123,NA,NA,NA,1.64366969271366,0.763672204855992,2.43979467428186,0.27925612571591,2.51394978740186,2.35648789893936
"272_17-AUST14_12-Stolotermitidae-Stolotermes_victoriensis","272_17-AUST14_12-Stolotermitidae-Stolotermes_victoriensis",NA,NA,NA,NA,NA,1.62655078411097,1.24201809565262,NA,NA,2.45039579834165,3.01794226689145,2.54137681868472,1.21319069967219,2.93788513428794,1.19485817583769,NA,1.12276294559487,NA,0.33727250059274,1.52896572862441,0.949134441898478,NA,0.848418953256539,NA,NA,NA,NA,NA,NA,0.423104954946268,NA,0.85613055544102,0.499425443778651,0.421611900225693,0.496480981858359,NA,NA,NA,NA,NA,NA,3.7102935861211,2.42911785068958,2.77100474992353,2.66340859644137
"229_03-CF_RNA_1-Rhinotermitidae-Coptotermesformosanus","229_03-CF_RNA_1-Rhinotermitidae-Coptotermesformosanus",NA,NA,NA,NA,NA,NA,0.216202013825651,NA,NA,2.16401027989795,2.49088001194757,2.18071887441444,1.11907549757384,2.62951235242878,2.42232384560539,0.641078813880573,0.814578704226529,1.19085024484112,0.881334161442961,1.64400722590485,0.885708039061799,NA,0.486184282951411,NA,NA,0.155297184260101,NA,0.0661887723442364,NA,1.17412522636488,2.51799166786201,1.14964515168696,NA,1.07494074349386,1.29896941408581,0.297792248350249,NA,NA,NA,NA,NA,2.51365858467665,0.48543009989313,1.6090144554561,2.28848791576524
"301_09-87-Rhinotermitidae-Coptotermes_elisae","301_09-87-Rhinotermitidae-Coptotermes_elisae",NA,NA,NA,NA,NA,NA,NA,NA,NA,3.2386743731524,3.32483222838354,3.16376927340964,1.11455292299703,3.90094942262287,3.81782580366051,0.804544243778599,1.7311602155586,0.131953877830874,1.34730858249575,1.25065411671894,1.10749805243383,NA,1.47057435949047,NA,NA,NA,NA,NA,NA,0.52620648526544,2.77379953754085,0.632469133561575,0.683213202914159,NA,1.63194925153512,NA,NA,NA,NA,NA,NA,3.80418735270494,NA,2.03047234837124,2.73356732010706
"230_04-RDCT185-Rhinotermitidae-Coptotermes","230_04-RDCT185-Rhinotermitidae-Coptotermes",NA,NA,NA,NA,NA,0.498992094513937,NA,NA,NA,2.73634832253058,3.12611141083944,2.78644059545375,2.51982020122811,3.7646070046286,3.17159568519029,2.33143143043885,3.5892208056819,2.45171715824453,2.75692507255692,3.60476023521568,2.89728311220094,1.76982997305788,2.03648478550547,NA,0.621511635585813,0.533442355143884,NA,1.57274065451397,NA,2.54150077016286,3.22593166334639,2.1717201103542,NA,2.56500133885222,2.70907745473616,0.842389595339864,NA,NA,NA,NA,1.05550035243848,2.87088584712219,NA,NA,0.664351687103339
"230_26-G13_107-Rhinotermitidae-Coptotermes_testaceus","230_26-G13_107-Rhinotermitidae-Coptotermes_testaceus",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.227683256351839,1.32553522210829,NA,NA,4.42945556375004,4.35877238343807,1.1016557783529,2.14067413774755,1.77566094804686,2.32301116292066,2.48084462376179,0.903267848192827,1.25669336692318,NA,NA,NA,NA,0.624752384912344,NA,NA,NA,4.26827091974626,1.28492668859105,NA,2.2958506164384,NA,NA,0.856067564482699,NA,NA,NA,NA,4.54154818958057,1.55008323835756,2.43798638822963,2.73198356869919
"272_11-AUS47-Rhinotermitidae-Heterotermes_vagus","272_11-AUS47-Rhinotermitidae-Heterotermes_vagus",NA,NA,NA,NA,NA,NA,NA,NA,NA,3.05977004790547,3.01292824181053,3.08032106042974,NA,3.13674808096189,3.06247892341632,NA,NA,NA,NA,NA,NA,NA,0.640066926394226,NA,NA,NA,NA,0.595626995216664,NA,0.393445372932468,3.08000369665434,NA,0.104403863408824,NA,1.9139873082201,NA,NA,NA,NA,NA,1.31763490833461,2.90058220763293,NA,0.9351625196173,1.99526417903246
"272_16-AUS88-Rhinotermitidae-Heterotermes_sp_5","272_16-AUS88-Rhinotermitidae-Heterotermes_sp_5",NA,NA,NA,NA,NA,NA,0.524429680773002,NA,NA,2.89613172144737,3.07721684491373,2.9252658441083,1.05964142775277,1.22036164622682,2.99198966428225,NA,0.396309598685548,1.05416402109429,NA,NA,NA,1.77217833479104,1.12531964634367,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.18970272642607,NA,NA,NA,NA,NA,NA,NA,NA,3.0135695978097,NA,NA,NA
"301_12-AUS121-Rhinotermitidae-Heterotermes_sp_4","301_12-AUS121-Rhinotermitidae-Heterotermes_sp_4",NA,NA,NA,NA,NA,NA,NA,NA,NA,3.04289394662816,3.02835889067178,3.05204908167105,NA,0.84250581887728,3.36020873811222,2.00664098267963,0.979697215680996,1.45770116548111,1.25433574939654,1.89345020552519,NA,1.14485555709142,0.849145861815389,NA,NA,NA,0.0053977291567191,NA,NA,0.928184921287863,1.36797431325729,0.472220257655506,3.19656230741004,0.967943188031836,0.843769908960094,0.725522938673487,NA,NA,NA,NA,NA,3.11864235121906,NA,2.20978125393039,2.52804692252582
"301_90-THAI98-Rhinotermitidae-Reticulitermes_sp_A","301_90-THAI98-Rhinotermitidae-Reticulitermes_sp_A",NA,NA,NA,NA,NA,NA,1.53713472604371,NA,NA,NA,3.49340838784302,NA,2.74970565293232,2.62090725151134,2.81877642685562,NA,0.914131337984224,NA,NA,NA,1.52162043699301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.50529713236521,1.34283933500377,3.70687548764868,2.24804137335479
"301_92-US1-Rhinotermitidae-Reticulitermes_nelsonae","301_92-US1-Rhinotermitidae-Reticulitermes_nelsonae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.17698359038053,NA,1.68962109123297,3.11031818862799,2.3141802593241,1.36305236822767,3.25282330551492,2.85227379026839,3.10169041302691,3.49587753669326,2.4251527066215,4.27617060784642,1.4032418418518,NA,1.54146513977741,1.03425352450772,0.926335626973172,1.51695484372668,NA,2.62727873652013,2.19908111987198,2.14629624201062,0.380281060159048,2.74914647326685,1.93135771506333,1.95787415035545,NA,NA,NA,0.57300068394381,0.540449397222678,2.97653111889751,1.63889155877109,2.65735163785919,3.25768629134268
"229_07-Msp_RNA_1-Microcerotermes-Microcerotermes","229_07-Msp_RNA_1-Microcerotermes-Microcerotermes",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.31163610164666,3.06208193450434,1.92979506991101,0.718213376979589,3.21120394843223,2.46494922759948,2.09889271723953,1.31697580224365,1.81934535378961,0.635501235197848,0.132545263547887,0.326236982302077,NA,1.27909474383942,3.44004472681636,2.10272761728862,2.37200833782356,NA,1.81390913409267,NA,2.43523695194177,3.79334288337328,2.21846476179404,0.464743648141015,3.01554647355173,2.86301607631441,0.312047517829199,1.35407522130211,0.868454343167104,2.23324823153298,1.67742210204188,0.831101395868779,0.334865687182444,NA,2.57643645554261,3.6705068099088
"272_33-FG_ND02_38-Microcerotermes-Microcerotermes_sp_SA","272_33-FG_ND02_38-Microcerotermes-Microcerotermes_sp_SA",NA,NA,NA,NA,NA,NA,NA,NA,NA,3.34672185470789,4.23068525685425,3.34649071163739,2.15479554157833,4.17967722366322,3.57860923825059,3.08122509549646,1.81285697911959,1.96032926218825,0.68036889662323,NA,1.33512509071754,NA,NA,4.4794654616525,3.52821268159671,3.39153601822068,0.87747802393984,1.92109357688272,NA,4.04077360871203,4.46580515909393,2.96653898112387,1.92001014098401,3.58908388502688,3.72679966561903,1.88342182116656,1.88434263023966,NA,3.11665570476812,0.973203708997572,NA,2.65267043363475,NA,3.83854126007069,5.00750986393892
"272_19-BDIT102-Microcerotermes-Microcerotermes_fuscotibialis","272_19-BDIT102-Microcerotermes-Microcerotermes_fuscotibialis",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.95633111918786,3.29808432403008,3.27425784955922,2.00722077589382,3.81941011851768,3.47986794517809,3.20992817689223,1.95343756998541,0.512855062276589,NA,NA,NA,NA,0.49886602385737,3.9042790253426,2.36622724424449,3.13573062263276,NA,NA,NA,2.38577198630912,4.42699287425645,3.14656087663902,1.19622430346913,3.15598454978402,3.10567715287776,1.23583209096583,1.76039870019809,2.12159840345418,2.33049124007322,1.79092264876225,NA,0.265761550787984,NA,3.7867559196295,4.47584965125458
"230_12-81-Microcerotermes-Microcerotermes_papuanus","230_12-81-Microcerotermes-Microcerotermes_papuanus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.88537951337623,NA,2.14606062070504,3.91095415893471,3.25805658619799,3.43458822038257,2.01761016273919,1.76664442193817,1.1715510595304,NA,0.123747588964097,NA,1.22858982833991,3.93669826054221,2.85582792429634,2.80820827280376,NA,2.34133292904509,NA,3.13554234117504,4.35837224673292,3.03755364274956,0.860231679022841,3.25319658884478,3.21595300824856,0.828352357383746,1.49391707954192,1.38639281211925,2.32477522315914,1.20886560575012,0.636476341411796,1.73125642350392,NA,2.98948514809058,4.24896953667019
"272_09-AUS13-Microcerotermes-Microcerotermes_sp","272_09-AUS13-Microcerotermes-Microcerotermes_sp",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3585109411249,3.10461229412093,3.14034608074479,1.97173250362693,3.43008880468301,2.70085583961787,3.10158293438628,NA,1.58202400368301,NA,1.37470801953019,NA,0.409718587672097,NA,4.02825940770582,2.57123127678233,2.93431898808586,NA,NA,NA,3.13885760354371,3.97267204064795,2.73233673316596,1.06368663955709,2.53687884146412,2.77812600304807,0.488750769917058,1.7939570994548,NA,3.27086709167633,1.64242447775545,0.995171937886362,0.753202162284543,NA,3.11957973476866,4.15731709932123
"272_41-G13_45-Syntermitinae-Cyriliotermes_angulariceps","272_41-G13_45-Syntermitinae-Cyriliotermes_angulariceps",NA,NA,NA,NA,NA,NA,NA,1.1996697692186,NA,NA,NA,NA,NA,3.15669720584,1.65352177157904,NA,1.6505251209886,NA,NA,NA,1.16014719538666,NA,NA,NA,NA,2.24411417723168,2.35334690945394,NA,NA,2.1464783643272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.4037989008741,2.16312284471604,1.92298858171567,3.21049676358517,3.48641559934372
